,Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
261,Dashkai,TR,18,33.3%,3.1,3.8,3.2,5.9,8.2,402,65.1%,25.7,590,0.88,0.4,0.12,0.1,-137,-2,120,11.1%,16.7%,0,6
262,Davus,,2,100%,3.2,1.0,3.0,8.5,0.8,241,48.1%,4.8,117,2.38,0.99,0.2,0.33,304,-6,735,50%,0%,0,-
263,Daystar,KR,47,44.7%,3.3,3.5,3.0,6.3,8.5,405,66.2%,28.2,753,1.1,0.41,0.26,0.2,-162,-3,-169,17%,10.6%,0,11
264,Deadhound,DK,17,47.1%,3.6,2.7,2.8,7.4,7.5,380,64.9%,22.5,518,0.98,0.4,0.19,0.09,-78,-7,-122,23.5%,11.8%,0,-
265,Deadly,GB,32,78.1%,5.0,6.9,2.7,6.4,9.2,490,68%,28.9,793,1.27,0.4,0.36,0.12,246,11,443,18.8%,0%,1,6
266,Decade,CN,39,25.6%,1.5,1.4,3.0,3.2,8.3,364,45.4%,20.7,441,-,-,-,-,-,-,-,-,-,-,-
267,Decay,FR,18,44.4%,4.1,5.9,2.5,4.3,9.3,444,66.2%,30.3,707,1.12,0.47,0.2,0.17,85,2,128,11.1%,5.6%,0,6
268,Deceiving,EG,14,7.1%,1.6,3.3,3.6,2.6,8.5,395,63.7%,29.4,515,0.77,0.31,0.17,0.05,-968,-15,-472,28.6%,7.1%,0,4
269,Deft,KR,49,57.1%,4.5,4.1,2.2,5.9,8.4,429,68.4%,29.1,683,1.74,0.73,0.4,0.17,63,-1,-105,26.5%,14.3%,1,3
270,Dehaste,HR,28,78.6%,4.3,4.6,2.7,7.2,8.7,441,62.9%,29.0,792,1.09,0.43,0.2,0.12,8,2,-143,7.1%,7.1%,0,13
271,Deimos,FR,18,50%,2.8,2.3,2.8,5.6,7.2,357,53.2%,22.3,550,0.85,0.38,0.09,0.16,-100,-3,245,11.1%,16.7%,0,7
272,Dekap,JO,32,62.5%,4.6,1.7,2.9,11.6,1.9,281,74.9%,7.7,194,2.84,1.39,0.32,0.37,399,14,424,21.9%,6.3%,0,1
273,Deletus,DE,4,25%,1.5,2.3,6.5,7.5,4.9,312,64.1%,12.0,264,0.87,0.2,0.18,0.13,-545,-9,-520,25%,25%,0,-
274,Delight,KR,55,69.1%,5.8,0.8,2.0,11.0,1.7,271,78%,7.1,168,3.24,1.67,0.42,0.43,86,-0,127,27.3%,5.5%,0,1
275,Demonadc,RU,1,0%,1.0,4.0,7.0,3.0,6.1,390,63.6%,30.6,616,0.67,0.33,0.17,0.04,-1087,-21,-1554,100%,0%,0,-
276,Demy,MX,4,75%,5.0,5.0,2.8,8.8,7.1,424,58.2%,22.7,660,1.15,0.46,0.2,0.1,163,-5,-322,0%,0%,0,1
277,DenVoksne,DK,27,63%,5.4,4.7,2.1,6.7,8.8,436,70.1%,28.0,641,1.22,0.35,0.37,0.11,119,9,281,25.9%,11.1%,0,1
278,Densi,DE,18,27.8%,3.0,3.0,3.4,7.4,5.6,342,71.4%,16.4,370,1.31,0.36,0.29,0.31,83,-10,-233,50%,5.6%,0,3
279,Denyk,CZ,32,75%,6.7,1.3,1.8,10.4,1.6,281,71.6%,8.4,216,3,1.53,0.29,0.41,481,8,491,43.8%,9.4%,0,-
280,Derakhil,TR,34,70.6%,3.4,3.6,3.5,8.4,6.5,382,69.4%,17.6,451,1.14,0.31,0.21,0.18,104,7,229,14.7%,8.8%,0,4
281,DesoLinee,PL,14,7.1%,1.1,0.9,3.6,3.0,6.6,312,30.8%,26.1,506,0.68,0.33,0.09,0.01,-1164,-26,-659,7.1%,21.4%,0,6
282,Devn,DE,18,16.7%,3.0,3.4,3.0,5.6,8.4,402,68.1%,22.3,497,0.92,0.32,0.26,0.12,-437,-3,-170,5.6%,11.1%,0,1
283,Dhokla,US,20,40%,2.0,2.6,3.4,4.3,8.0,383,55.7%,21.6,489,1.01,0.33,0.24,0.11,-341,-4,-277,5%,15%,0,6
284,Diable,KR,47,44.7%,3.0,4.7,3.7,6.3,8.7,436,77.1%,29.2,792,1.53,0.57,0.37,0.13,303,13,242,40.4%,14.9%,0,3
285,Diamond,CA,28,60.7%,4.0,1.1,2.8,9.9,1.8,273,65.9%,9.4,243,2.87,1.39,0.36,0.39,151,5,181,21.4%,14.3%,0,1
286,Dice,KR,18,38.9%,3.1,2.9,2.9,6.2,8.9,410,62.2%,28.9,636,1.25,0.5,0.26,0.27,-39,4,254,11.1%,16.7%,0,4
287,Did,PT,14,21.4%,2.1,2.7,3.7,5.1,7.2,370,57.1%,25.2,538,1.06,0.39,0.25,0.1,-440,-16,-158,28.6%,7.1%,1,3
288,Difference,SY,18,33.3%,1.8,2.4,3.7,4.1,8.0,375,47.2%,23.0,519,0.9,0.36,0.13,0.08,-96,-5,-89,11.1%,22.2%,0,9
289,Dioge,BR,22,72.7%,6.7,4.5,1.8,7.4,9.0,441,73%,28.1,655,1.1,0.44,0.17,0.2,535,10,336,31.8%,0%,0,6
290,Dionelux,TR,25,56%,2.8,3.7,3.3,5.7,7.5,386,52.6%,25.1,674,0.78,0.35,0.1,0.05,-133,-0,-90,16%,20%,0,16
291,Diplex,DE,27,63%,7.4,4.4,1.6,7.3,9.1,440,62.8%,25.6,676,1.14,0.41,0.16,0.16,263,8,278,7.4%,0%,0,10
292,Direnc,TR,2,0%,1.0,1.0,5.5,4.5,6.6,310,59.6%,13.4,354,0.63,0.27,0.05,0.03,-918,-12,34,0%,50%,0,1
293,Disamis,BR,36,61.1%,3.8,1.9,3.0,9.6,5.5,332,70.6%,12.5,300,1.48,0.29,0.42,0.24,-52,2,24,33.3%,5.6%,0,-
294,Diva,HR,18,55.6%,2.7,3.7,3.4,5.5,8.6,412,69.5%,28.8,695,1.01,0.31,0.2,0.11,40,3,-192,27.8%,5.6%,0,6
295,Dixie,,6,0%,1.6,1.8,3.7,4.2,5.7,313,77.8%,12.5,260,1.3,0.23,0.33,0.36,-370,-7,-292,33.3%,0%,0,1
296,DizL,AT,18,33.3%,4.6,4.4,2.2,5.7,7.8,402,72.4%,25.2,595,1.04,0.45,0.19,0.08,-275,-13,-248,27.8%,16.7%,0,1
297,Dizin,BR,15,0%,1.3,1.3,3.5,3.2,5.5,302,63.8%,13.2,266,1.32,0.33,0.35,0.27,-286,-3,-94,6.7%,6.7%,0,2
298,Djoko,FR,25,48%,5.1,2.2,2.7,11.5,5.2,328,77.3%,15.9,407,1.24,0.29,0.23,0.23,15,-4,76,48%,0%,1,-
299,DnDn,KR,44,31.8%,1.7,1.5,2.8,3.0,8.6,381,44.3%,20.8,438,1.15,0.54,0.16,0.29,-185,-3,-138,18.2%,13.6%,0,13
300,Doggo,TW,42,26.2%,2.8,3.1,2.4,3.6,8.7,410,69.2%,26.2,574,-,-,-,-,-,-,-,-,-,-,-
301,Dolis,CZ,14,7.1%,2.2,4.0,3.0,2.6,8.0,384,59.8%,27.5,594,0.88,0.34,0.12,0.1,-430,-9,-187,7.1%,14.3%,1,1
302,Domevch,DE,1,0%,1.0,2.0,3.0,1.0,7.6,367,60%,16.2,254,1.07,0.15,0.38,0.15,227,-5,74,0%,0%,0,-
303,Don Ponk,SE,5,0%,0.8,0.4,6.8,5.0,1.1,223,56.6%,6.8,146,2.69,1.33,0.32,0.2,-620,2,-61,40%,0%,0,-
304,Dooly,KR,29,20.7%,2.5,3.4,2.7,3.2,8.9,413,62.5%,24.7,553,0.89,0.28,0.22,0.11,-172,-4,-143,13.8%,3.4%,0,10
305,Dop4,,9,0%,1.5,2.2,3.0,2.3,7.5,354,55.9%,28.5,557,0.84,0.38,0.16,0.08,-545,-6,-321,11.1%,0%,0,2
306,Doran,KR,55,69.1%,3.3,2.6,2.6,6.1,8.1,395,57.3%,23.4,564,1.16,0.39,0.25,0.21,-40,-2,118,23.6%,16.4%,0,13
307,Doss,DK,33,42.4%,4.0,0.9,2.7,9.7,1.2,253,75.7%,7.4,170,3.55,2.15,0.4,0.44,-12,-1,76,27.3%,3%,0,-
308,DoubleAiM,RS,32,62.5%,3.3,3.7,3.5,8.0,6.7,377,71.6%,15.8,415,1.35,0.31,0.28,0.25,209,11,288,46.9%,18.8%,0,1
309,Dove,KR,18,38.9%,3.0,2.9,2.5,4.7,8.6,395,65.3%,24.5,572,1.12,0.39,0.25,0.18,-138,-5,-113,33.3%,5.6%,0,5
310,Doxa,CA,26,42.3%,2.9,1.1,3.7,9.5,2.0,272,71.8%,9.3,232,2.27,1.06,0.31,0.18,134,11,192,15.4%,19.2%,0,2
311,Doxy,DK,14,50%,2.9,2.8,3.1,6.0,8.2,394,60.4%,23.6,565,1.1,0.38,0.21,0.17,192,7,294,14.3%,21.4%,0,4
312,DrChaos,CH,14,42.9%,2.7,0.9,3.3,8.1,1.3,252,68.6%,8.9,197,3.03,1.46,0.36,0.3,156,5,111,42.9%,14.3%,0,-
313,Drag0,,4,25%,1.2,2.3,4.3,3.0,5.5,315,68.3%,13.0,257,0.98,0.16,0.29,0.23,-572,-12,-479,0%,0%,0,-
314,Dragku,AU,26,57.7%,3.9,1.4,3.3,11.2,1.7,269,76.2%,10.0,244,2.98,1.59,0.31,0.3,132,10,206,26.9%,0%,0,-
315,Dragoon,US,21,28.6%,1.6,2.6,4.0,3.8,7.4,371,49.4%,26.6,613,0.55,0.28,0.09,0.02,-58,-6,98,9.5%,19%,0,10
316,Drakehero,BR,18,50%,3.3,1.4,2.7,7.4,6.0,332,75.2%,13.1,268,1.55,0.36,0.46,0.21,-26,9,192,11.1%,16.7%,0,-
317,Draktharr,VN,29,41.4%,3.4,2.8,3.2,8.0,6.1,351,69.1%,14.6,357,1.54,0.43,0.38,0.34,227,5,178,31%,13.8%,0,7
318,Dreilix,DE,18,0%,2.0,3.8,3.4,3.1,8.4,399,64.1%,29.9,669,0.75,0.34,0.19,0.01,-671,-11,-190,16.7%,11.1%,0,2
319,Driver,TW,38,52.6%,2.5,2.4,2.9,4.9,8.0,381,47.5%,22.5,583,1.13,0.52,0.18,0.25,242,10,203,10.5%,13.2%,0,12
320,DuDu,KR,46,39.1%,2.6,2.6,2.7,4.5,8.9,401,57.9%,22.7,509,0.95,0.29,0.19,0.14,176,6,173,13%,10.9%,0,12
321,DuaLL,ES,22,68.2%,3.4,0.9,3.5,11.1,1.4,266,80.9%,11.1,276,3.29,1.59,0.36,0.32,-30,1,110,18.2%,18.2%,0,-
322,Duck1,CN,12,16.7%,1.8,3.4,3.7,3.3,8.4,396,58.9%,22.8,493,0.86,0.36,0.21,0.15,-363,-13,-395,16.7%,16.7%,0,-
323,Ducks,DK,7,28.6%,1.7,0.9,4.1,6.3,1.1,248,75.4%,8.8,179,3,1.68,0.42,0.26,-551,-4,-233,28.6%,14.3%,0,1
324,Duro,KR,47,44.7%,3.3,1.0,3.6,10.7,1.6,271,82.2%,9.0,240,3.54,1.82,0.47,0.5,97,-7,-37,44.7%,2.1%,0,-
325,Dusseldrop,NL,14,57.1%,3.5,2.9,2.5,5.9,7.5,386,47.3%,17.4,453,0.81,0.37,0.11,0.04,-164,-6,85,7.1%,14.3%,0,5
326,Dusty,PL,14,28.6%,1.8,1.6,3.6,4.8,8.5,376,46.3%,25.8,527,0.82,0.29,0.18,0.03,-545,-5,-352,7.1%,14.3%,0,1
327,EL,KR,20,15%,1.9,1.7,3.4,4.8,5.7,319,66%,15.3,298,1.38,0.39,0.34,0.29,-90,2,-27,15%,15%,0,3
328,EMPxD,SE,14,42.9%,3.4,3.0,2.8,6.5,6.8,360,72.6%,19.1,452,1.22,0.25,0.28,0.2,-118,2,78,14.3%,7.1%,0,3
329,Eagle,IT,14,14.3%,1.5,2.3,4.9,5.0,5.1,304,76.7%,16.5,313,1.2,0.25,0.29,0.2,-406,-8,-384,35.7%,7.1%,0,4
330,EasyLove,VN,31,29%,2.4,3.2,3.6,5.7,7.8,402,58.7%,24.3,554,1.38,0.54,0.41,0.13,-851,-22,-851,19.4%,9.7%,0,2
331,Eckas,LT,18,44.4%,4.7,1.1,2.4,10.5,5.4,316,77.1%,11.2,260,1.39,0.32,0.32,0.27,-30,-5,-28,50%,11.1%,0,-
332,Eckbard,DE,21,33.3%,1.9,1.0,4.3,7.0,1.2,249,61.2%,8.4,194,3.29,1.59,0.4,0.31,-159,-11,-406,33.3%,4.8%,0,2
333,Ecstassy,RO,17,47.1%,4.3,4.5,2.5,6.4,7.9,402,72.1%,27.3,690,0.89,0.34,0.22,0.05,100,4,-108,52.9%,0%,0,2
334,EdbyK,CZ,27,55.6%,2.9,2.7,2.9,5.6,8.1,399,49.8%,24.4,613,0.75,0.28,0.14,0.06,180,7,210,7.4%,7.4%,0,8
335,Eddie,VN,28,82.1%,4.5,4.4,2.3,6.0,9.4,460,60.2%,27.3,708,1.41,0.53,0.37,0.14,615,8,266,21.4%,10.7%,0,3
336,Effort,KR,47,34%,2.8,0.5,2.8,7.2,1.4,250,68.5%,7.5,151,4.03,2.18,0.59,0.65,-247,-11,-409,14.9%,17%,0,1
337,Efias,UA,23,73.9%,4.2,1.0,2.9,11.2,1.1,269,77.9%,7.5,180,3.08,1.55,0.33,0.37,126,-1,-98,39.1%,8.7%,0,1
338,Eika,FR,35,57.1%,4.7,4.7,2.4,6.7,8.7,424,70.6%,28.1,659,1.25,0.5,0.24,0.19,-21,-2,-1,25.7%,8.6%,0,12
339,ElBalyy,ES,21,52.4%,3.4,3.5,3.0,6.4,6.1,350,73.3%,16.8,399,1.34,0.21,0.37,0.18,98,1,33,28.6%,19%,0,4
340,Elio,VN,40,72.5%,4.5,1.0,2.8,11.5,2.3,279,68.5%,10.1,266,3.3,1.8,0.49,0.51,252,10,447,22.5%,7.5%,0,2
341,Elk,CN,54,83.3%,6.0,5.1,1.9,6.3,9.2,475,67.8%,28.7,743,-,-,-,-,-,-,-,-,-,-,-
342,Ellim,KR,27,33.3%,2.5,2.5,3.7,6.9,5.7,336,73.2%,14.1,309,1.57,0.46,0.37,0.38,5,-2,11,29.6%,14.8%,0,1
343,Eloha,,2,0%,1.1,3.0,7.0,4.5,6.2,332,78.6%,25.1,610,0.67,0.29,0.08,0.08,-1346,-16,-1373,0%,50%,0,-
344,Elramir,TR,32,62.5%,4.3,2.7,3.0,10.3,5.9,354,73.4%,14.1,359,1.57,0.37,0.34,0.34,285,4,245,40.6%,12.5%,0,5
345,Elyoya,ES,45,48.9%,3.8,2.2,2.9,8.9,5.5,336,78%,13.1,302,1.63,0.42,0.45,0.36,-17,-4,-121,46.7%,4.4%,0,1
346,Emo,VN,14,64.3%,4.6,4.3,2.6,7.4,8.5,405,61.9%,20.0,520,1.23,0.44,0.26,0.25,-50,-11,-53,28.6%,7.1%,0,2
347,Emptyy,BR,15,20%,2.6,3.9,3.5,5.2,8.4,409,67.8%,26.5,604,1.32,0.43,0.36,0.18,-55,-3,-194,33.3%,0%,0,-
348,Empyros,GR,23,73.9%,4.6,3.0,1.7,4.8,8.7,416,48.3%,21.3,502,1.12,0.42,0.18,0.19,372,7,-17,13%,0%,0,5
349,Endless,HU,13,15.4%,1.6,3.3,4.2,3.4,8.1,396,59.2%,24.2,572,0.65,0.29,0.14,0.01,-462,-3,-332,23.1%,0%,0,1
350,Endz,EE,13,38.5%,2.7,0.8,4.0,10.1,1.2,250,71.8%,9.3,216,2.71,1.2,0.4,0.29,46,2,-28,15.4%,30.8%,0,-
351,Enjawve,FR,25,60%,3.1,1.0,4.8,14.0,1.4,271,67%,8.8,260,3.25,1.76,0.36,0.55,218,6,82,28%,4%,0,1
352,Enosh,KR,29,34.5%,4.2,4.6,2.1,4.3,9.6,436,69%,29.2,614,1.45,0.61,0.35,0.18,171,9,488,3.4%,3.4%,1,6
353,Enso,TW,13,38.5%,3.8,0.6,2.6,9.3,0.9,246,75.2%,7.5,186,3.42,2.09,0.34,0.64,-471,-30,-779,46.2%,7.7%,0,-
354,Envy,BR,26,42.3%,3.8,3.8,2.7,6.3,8.7,410,71.6%,29.3,616,1.21,0.51,0.24,0.21,192,1,43,15.4%,0%,0,8
355,Envy Carry,DE,28,57.1%,4.2,4.8,2.6,6.4,8.5,423,65.6%,23.1,599,0.98,0.39,0.2,0.13,-321,-8,-161,14.3%,10.7%,0,6
356,Envyy,KR,38,26.3%,2.3,3.4,2.9,3.2,9.1,403,65%,29.2,636,1.3,0.5,0.38,0.18,-437,5,-50,13.2%,15.8%,0,2
357,Ephekles,DE,18,38.9%,4.0,0.6,2.9,11.1,1.1,258,70.9%,6.8,159,3.46,1.78,0.39,0.35,-55,-5,-124,38.9%,0%,0,-
358,Erdote,PL,27,74.1%,5.0,0.8,2.5,11.8,1.5,276,72.5%,9.7,277,3.31,1.61,0.38,0.36,160,2,200,18.5%,7.4%,0,-
359,Erolle,DK,14,50%,4.8,3.9,2.0,5.7,8.6,411,64.8%,25.9,642,0.72,0.3,0.14,0.09,-383,-13,-298,14.3%,7.1%,0,3
360,Ersin,TR,15,53.3%,3.4,4.5,2.8,5.1,8.4,416,59%,25.4,634,1.17,0.51,0.13,0.17,175,7,104,26.7%,13.3%,0,7
361,Escik,PL,25,60%,5.4,3.8,2.0,7.0,8.9,426,66.7%,24.1,630,1.16,0.37,0.19,0.14,230,3,229,16%,4%,0,7
362,Esko,CZ,18,50%,6.3,4.6,1.6,5.6,7.9,409,77.5%,27.5,601,0.94,0.34,0.25,0.08,-229,-13,-434,16.7%,11.1%,0,1
363,Ethelikith,ES,20,55%,2.1,1.8,3.2,5.0,7.8,381,46.3%,22.1,519,0.98,0.4,0.16,0.16,194,11,319,10%,15%,0,3
364,Eugeo,JP,20,35%,2.8,3.6,2.8,4.3,8.7,404,69.7%,29.0,642,1.16,0.52,0.22,0.26,-229,-6,-155,10%,0%,0,2
365,Evaan,FR,10,40%,4.3,5.0,2.7,6.5,9.3,444,69.5%,30.4,718,1.05,0.44,0.21,0.14,230,2,229,40%,10%,0,10
366,Ever,PL,4,25%,1.6,2.8,5.0,5.0,4.8,315,50%,18.1,356,0.7,0.3,0.11,0.17,-1268,-9,-486,0%,25%,0,1
367,Evi,JP,47,70.2%,3.4,3.5,2.8,6.0,7.6,397,58.8%,22.2,607,1.1,0.42,0.19,0.13,265,4,96,31.9%,10.6%,0,17
368,Exakick,FR,33,42.4%,3.5,4.6,2.7,5.0,9.2,444,67.7%,27.0,641,1.63,0.62,0.47,0.18,-89,-5,-278,15.2%,9.1%,0,2
369,Execute,KR,43,37.2%,2.3,0.5,3.5,7.8,1.3,244,71.8%,8.2,176,3.28,1.98,0.34,0.5,-123,-7,-167,51.2%,11.6%,0,1
370,Exiled,PT,17,47.1%,2.3,0.8,4.1,8.5,1.5,252,64%,7.8,173,2.62,1.32,0.27,0.29,-54,10,42,17.6%,11.8%,0,-
371,Exnom,IT,14,14.3%,1.5,2.6,3.7,2.9,7.9,368,57.3%,23.6,450,0.74,0.28,0.19,0.04,-994,-18,-398,14.3%,7.1%,0,-
372,Eyla,AU,26,53.8%,3.7,0.8,3.0,10.5,2.2,268,72%,8.0,208,3,1.51,0.47,0.47,-29,15,314,11.5%,11.5%,0,2
373,Eyliph,FR,21,66.7%,3.8,2.3,2.2,6.0,8.0,388,56.6%,24.3,549,1.02,0.38,0.2,0.11,148,3,63,9.5%,9.5%,0,4
374,F1VTY,DE,18,16.7%,2.5,1.7,3.5,6.9,5.5,313,63%,13.5,294,1.34,0.31,0.33,0.21,-180,-9,-430,5.6%,5.6%,0,1
375,F4rg,PT,5,80%,8.2,2.4,1.0,5.8,8.2,403,43%,21.1,502,0.83,0.4,0.06,0.09,454,5,681,0%,0%,0,3
376,FBI,AU,20,40%,4.8,3.7,2.0,5.7,7.4,396,71.5%,31.3,739,1.69,0.74,0.39,0.18,22,-11,-19,25%,5%,1,1
377,FENZ1,BG,9,11.1%,1.2,2.2,3.8,2.2,8.4,370,69.5%,26.1,489,0.58,0.21,0.12,0.02,-255,-2,-140,0%,33.3%,0,2
378,FGG,GB,18,16.7%,3.2,0.9,2.3,6.3,1.1,243,73%,10.5,211,3.25,1.69,0.42,0.39,130,-7,-102,44.4%,0%,0,2
379,FIERCE,SE,17,47.1%,4.6,4.8,2.3,5.7,9.1,450,70.3%,31.8,779,0.8,0.26,0.15,0.05,198,4,155,47.1%,5.9%,0,11
380,FIESTA,KR,16,37.5%,3.4,2.8,2.9,7.2,8.5,398,73.2%,30.6,728,1.52,0.63,0.29,0.29,179,4,86,25%,12.5%,0,1
381,FIuffy,TR,8,62.5%,2.9,2.9,3.9,8.5,5.9,347,59.8%,12.7,348,1.45,0.38,0.27,0.31,-37,1,2,12.5%,25%,0,-
382,FUN k3y,DE,35,65.7%,3.4,5.5,3.3,5.9,8.2,440,71.5%,27.2,733,1.39,0.47,0.39,0.13,-79,2,127,37.1%,11.4%,0,7
383,Fade,TR,14,35.7%,2.6,3.5,2.9,3.9,8.9,414,57.7%,24.3,529,0.79,0.28,0.16,0.12,-220,-3,-232,7.1%,0%,0,4
384,Faded,GR,14,28.6%,2.9,5.9,4.1,5.9,7.7,424,74.8%,31.8,815,0.9,0.35,0.16,0.05,-423,-10,-362,21.4%,14.3%,0,4
385,Faetski,DK,14,28.6%,2.0,4.5,4.7,4.7,8.4,413,75.4%,27.5,656,1.12,0.37,0.31,0.07,296,6,-106,35.7%,7.1%,0,3
386,Faisal,CA,28,60.7%,3.5,3.1,2.3,4.8,8.1,405,50%,21.7,569,1.03,0.45,0.13,0.13,171,5,297,14.3%,3.6%,0,16
387,FaithXD,TR,11,18.2%,1.7,2.8,5.3,6.3,5.4,327,71.5%,16.2,406,1.27,0.29,0.3,0.23,-219,-7,-394,18.2%,18.2%,0,1
388,FakeGod,US,14,35.7%,2.1,1.9,3.1,4.6,7.9,362,48.1%,20.7,476,1.09,0.41,0.19,0.21,-42,0,-16,0%,7.1%,0,2
389,Faker,KR,55,72.7%,5.2,3.8,2.0,6.7,9.1,438,68.3%,26.1,657,1.33,0.47,0.27,0.16,191,4,115,21.8%,1.8%,0,12
390,Fallen,MK,18,50%,4.1,1.2,2.2,8.0,5.3,313,72.1%,12.4,271,1.55,0.29,0.42,0.23,-255,-16,-623,33.3%,11.1%,0,1
391,Falleo,HR,32,62.5%,4.0,4.2,2.8,7.3,7.1,394,67.4%,23.4,631,0.9,0.36,0.1,0.1,51,-7,88,31.3%,6.3%,0,8
392,Farfetch,TR,31,54.8%,3.4,0.9,3.9,12.3,1.1,254,78.5%,7.6,196,3.67,1.88,0.43,0.43,-67,-2,-28,32.3%,6.5%,0,1
393,FatBenny,IT,4,0%,0.6,0.0,5.8,3.5,1.0,214,61%,9.9,180,2.14,0.88,0.23,0.22,-500,-2,-237,25%,25%,0,-
394,FatihCan,TR,14,50%,4.3,4.0,2.5,6.6,5.9,390,62.2%,25.2,587,1.32,0.58,0.27,0.11,-49,-14,100,21.4%,7.1%,0,1
395,Febiven,NL,18,33.3%,3.1,3.3,3.1,6.1,8.9,416,75.1%,28.4,624,1.1,0.46,0.2,0.15,-308,-6,-392,16.7%,11.1%,0,2
396,Fede,ES,14,50%,6.4,4.7,1.8,6.8,8.9,428,70.1%,27.6,700,1.05,0.36,0.22,0.08,276,1,311,35.7%,0%,1,2
397,Feisty,KR,32,56.3%,5.2,4.2,2.3,7.8,8.9,427,75.2%,27.7,678,1.28,0.44,0.32,0.29,295,8,186,15.6%,18.8%,1,3
398,Feng,TW,38,52.6%,4.1,4.3,2.4,5.5,8.4,420,71%,27.7,737,1.69,0.68,0.45,0.21,58,2,92,23.7%,7.9%,0,1
399,Ferret,TR,19,47.4%,3.9,2.5,2.5,7.3,5.6,336,70.4%,12.8,268,1.69,0.44,0.48,0.36,60,1,-246,52.6%,5.3%,0,1
400,Findo,AU,14,28.6%,1.9,1.1,5.5,9.3,1.8,267,64.6%,8.1,204,2.71,1.4,0.28,0.38,-27,14,-248,21.4%,28.6%,0,-
401,Finn,SE,10,30%,2.6,0.9,2.3,5.1,7.7,347,52.5%,21.1,436,1.04,0.44,0.18,0.16,-120,-9,-70,10%,0%,0,1
402,FireAscept,TR,18,38.9%,3.3,4.1,2.8,4.9,8.8,423,58.4%,26.9,602,1.2,0.39,0.24,0.13,269,-1,226,11.1%,0%,0,15
403,Fireblade,VN,10,60%,2.4,2.6,3.4,5.5,7.4,371,45.9%,14.5,425,0.91,0.35,0.18,0.11,-867,-22,-507,10%,10%,0,2
404,Fisher,KR,36,25%,2.5,2.6,3.1,5.2,8.4,383,71%,28.4,608,-,-,-,-,-,-,-,-,-,-,-
405,Flakked,ES,31,45.2%,4.9,4.4,1.9,5.0,9.2,427,74.5%,25.8,537,1.62,0.6,0.45,0.17,-156,-4,-267,29%,6.5%,0,1
406,Flamer,DE,17,52.9%,5.3,4.1,1.8,5.5,8.9,423,58.4%,24.7,578,0.89,0.37,0.12,0.1,419,12,132,17.6%,0%,0,9
407,Flandre,CN,40,60%,3.0,2.4,2.6,5.3,8.4,404,59.7%,21.8,486,-,-,-,-,-,-,-,-,-,-,-
408,Flawed,NL,17,52.9%,2.9,2.3,3.5,7.6,5.9,341,65.5%,11.6,303,1.21,0.25,0.27,0.13,219,10,261,23.5%,11.8%,0,2
409,Flay,DE,4,0%,1.8,0.8,5.5,9.0,1.0,234,78.7%,6.2,135,2.96,1.56,0.38,0.22,-92,3,-374,0%,25%,0,-
410,Flaystation,DK,14,50%,3.1,1.1,3.5,9.8,1.6,271,73.1%,9.9,240,3.38,1.73,0.42,0.43,154,8,-34,21.4%,21.4%,0,1
411,Fleshy,TR,29,65.5%,3.1,1.3,3.6,9.8,1.5,273,73.7%,9.0,206,3.79,1.95,0.63,0.48,112,3,-114,34.5%,13.8%,0,3
412,FlickeR,PT,18,55.6%,6.1,4.6,1.6,4.9,9.8,454,64.7%,28.6,714,0.87,0.33,0.23,0.02,395,16,528,33.3%,5.6%,0,-
413,FoFo,TW,50,52%,3.7,2.6,2.0,5.0,8.9,410,67.5%,31.9,780,-,-,-,-,-,-,-,-,-,-,-
414,Forest,KR,47,70.2%,3.6,2.4,3.4,9.7,6.0,356,73.3%,14.0,383,1.62,0.44,0.41,0.31,214,5,154,40.4%,12.8%,0,4
415,Forlin,BR,17,41.2%,2.2,3.3,3.6,4.5,7.4,371,51.6%,26.2,600,0.97,0.35,0.18,0.15,-298,1,127,5.9%,11.8%,0,6
416,Fornoreason,DE,18,0%,1.1,2.7,4.4,2.2,7.8,368,44.6%,24.9,538,0.8,0.3,0.13,0.08,-588,-14,-402,11.1%,11.1%,0,11
417,Foxie,SI,21,57.1%,4.2,3.6,2.7,7.9,8.2,393,63.8%,25.3,616,0.82,0.28,0.21,0.08,71,5,281,14.3%,9.5%,0,4
418,FreakyFredd,AT,10,30%,3.5,1.0,3.4,10.9,1.2,254,83.5%,9.4,199,2.96,1.38,0.36,0.26,-13,3,180,10%,30%,0,-
419,Freazy,FR,14,35.7%,3.0,4.0,2.8,4.3,8.2,392,59.3%,28.2,606,1.1,0.43,0.22,0.16,191,-1,230,42.9%,7.1%,0,7
420,Fresskowy,PL,45,48.9%,3.9,3.5,2.2,5.1,8.8,410,60.5%,23.8,552,1.12,0.43,0.19,0.18,21,1,102,20%,15.6%,0,10
421,Frog,KR,39,48.7%,2.9,2.1,2.3,4.6,8.3,385,50.1%,19.5,454,1.07,0.39,0.17,0.22,-26,0,28,7.7%,15.4%,0,4
422,Froggy,VN,25,40%,3.8,3.5,2.7,6.8,8.1,395,70.5%,26.3,659,1.47,0.46,0.4,0.24,-335,-8,-256,16%,12%,0,2
