,Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
146,Breezy,US,29,48.3%,3.6,0.6,3.1,10.3,1.3,256,75.8%,7.3,175,3.24,1.74,0.38,0.39,29,2,93,34.5%,13.8%,0,-
147,Brokenblade,DE,42,78.6%,4.5,2.9,2.0,6.3,8.0,405,53.3%,22.0,532,1.05,0.48,0.16,0.17,245,4,182,9.5%,19%,0,16
148,Brucs,PT,14,21.4%,1.8,2.6,4.1,4.9,5.6,324,57.7%,13.6,296,1.08,0.13,0.29,0.13,-267,-6,-113,28.6%,7.1%,0,2
149,Buchi,SE,14,42.9%,2.5,1.9,2.9,5.1,8.6,396,49.9%,24.0,565,1.05,0.46,0.15,0.13,-50,4,250,0%,14.3%,0,5
150,Buggax,UY,28,17.9%,1.3,1.9,3.5,2.8,8.5,380,52.2%,26.9,526,0.92,0.35,0.2,0.12,175,8,10,7.1%,17.9%,0,11
151,Bugi,KR,14,35.7%,2.9,2.5,3.2,6.7,5.7,333,71.9%,15.0,359,1.49,0.31,0.37,0.24,-213,-13,-369,50%,7.1%,0,2
152,Built,EE,30,50%,2.0,2.3,3.3,4.2,7.8,379,41%,20.4,502,0.76,0.33,0.13,0.05,-272,-8,-403,10%,0%,0,12
153,Bulecha,BR,28,64.3%,3.9,0.9,3.0,10.9,1.5,263,66.6%,7.5,176,3,1.6,0.31,0.46,18,1,-3,32.1%,10.7%,0,-
154,Bull,KR,47,46.8%,2.9,3.5,2.9,4.8,8.2,398,69.4%,23.1,523,1.37,0.63,0.34,0.21,-316,-3,-85,23.4%,10.6%,0,2
155,Bulldog,KR,46,39.1%,3.3,3.0,2.5,5.2,9.0,405,73%,30.5,691,1.36,0.54,0.26,0.25,-237,-6,-122,10.9%,13%,0,4
156,Bung,AT,26,73.1%,7.4,6.6,1.9,7.5,8.7,464,70.1%,25.9,700,1.15,0.45,0.22,0.11,352,5,371,38.5%,11.5%,0,2
157,Burdol,KR,44,45.5%,2.4,2.5,3.0,4.8,8.2,384,58.9%,23.8,553,-,-,-,-,-,-,-,-,-,-,-
158,Busio,US,26,65.4%,3.4,1.3,3.3,10.0,2.1,277,78.6%,12.0,301,3.39,1.83,0.48,0.35,-22,-1,-75,15.4%,34.6%,0,1
159,Bvoy,KR,12,41.7%,5.1,4.4,2.1,6.3,9.0,428,71.1%,31.5,748,1.72,0.65,0.44,0.17,294,20,125,50%,0%,0,-
160,Bwipo,BE,26,65.4%,2.8,2.5,3.2,6.2,8.2,404,60.3%,22.6,555,1.11,0.43,0.21,0.17,272,1,100,11.5%,11.5%,0,5
161,CPM,RO,22,50%,4.0,2.0,1.8,5.2,7.7,365,60.5%,19.3,412,0.72,0.22,0.12,0.03,-498,-16,-143,13.6%,9.1%,0,10
162,CR0WN,NL,14,7.1%,1.5,3.1,4.7,3.8,8.1,383,61.7%,30.8,673,0.85,0.34,0.16,0.01,-177,-4,-247,28.6%,14.3%,0,4
163,Cabochard,FR,18,22.2%,2.1,2.2,2.8,3.7,7.7,361,54.8%,20.4,447,1.01,0.4,0.17,0.16,-44,-4,-113,11.1%,5.6%,0,3
164,Cadde59A,TR,13,38.5%,3.3,2.9,3.3,7.8,6.1,361,70.6%,15.0,355,1.19,0.3,0.28,0.27,-136,0,-1,15.4%,15.4%,0,2
165,Caliste,FR,29,65.5%,4.5,5.4,2.3,5.2,9.8,479,69.3%,30.5,712,1.41,0.51,0.4,0.13,70,4,248,27.6%,17.2%,0,-
166,Calisto,PT,4,25%,2.9,0.0,2.3,6.5,5.1,291,76.3%,10.9,199,1.12,0.18,0.3,0.15,-530,-8,-214,25%,0%,0,-
167,Calix,KR,52,55.8%,5.3,3.0,1.7,5.8,9.1,417,72.2%,27.5,622,1.19,0.42,0.26,0.22,197,8,331,28.8%,5.8%,0,10
168,Callme,KR,35,34.3%,2.1,2.2,3.3,4.8,9.0,398,72.5%,29.4,622,1.31,0.42,0.34,0.21,-128,-5,9,20%,20%,0,5
169,Calmsky,PT,14,35.7%,2.9,1.1,3.4,8.5,1.0,245,68.5%,11.0,234,2.94,1.57,0.26,0.39,-158,-12,-136,42.9%,7.1%,0,1
170,Camana,TR,14,0%,1.6,1.4,2.9,3.1,8.0,344,53.2%,25.1,454,0.92,0.35,0.13,0.15,-728,-11,-532,14.3%,0%,0,1
171,Campello,BR,3,0%,1.3,3.0,6.7,5.3,7.2,354,61.6%,24.6,528,0.59,0.31,0.05,0.01,-159,-27,-806,33.3%,0%,0,2
172,Canyon,KR,53,81.1%,5.9,1.8,1.8,9.0,5.7,342,71.4%,11.8,294,1.75,0.56,0.39,0.38,-65,1,92,24.5%,7.5%,0,3
173,Caps,DK,42,78.6%,5.2,4.5,2.2,6.9,9.0,440,68.4%,27.5,665,1.09,0.33,0.26,0.12,82,5,276,14.3%,9.5%,2,18
174,Care,CN,48,56.3%,3.5,2.8,2.7,6.6,8.7,409,67.8%,25.1,592,-,-,-,-,-,-,-,-,-,-,-
175,Career,KR,44,45.5%,3.6,1.5,2.8,8.7,1.7,276,75.2%,11.8,301,3.78,1.8,0.67,0.35,10,-4,25,13.6%,11.4%,0,6
176,Carim,KR,6,50%,3.2,3.3,3.0,6.3,5.5,328,72.9%,10.8,205,1.6,0.3,0.47,0.3,-61,-6,-132,66.7%,0%,0,-
177,Cariok,BR,35,60%,3.2,2.0,3.5,9.0,5.3,322,72.7%,11.4,276,1.61,0.47,0.39,0.35,150,1,18,51.4%,8.6%,0,4
178,Carlsen,DK,26,73.1%,3.9,2.2,2.2,6.5,8.3,399,52.6%,19.9,493,0.82,0.25,0.17,0.13,-20,-2,-55,7.7%,11.5%,0,6
179,Carnage,GR,21,33.3%,2.7,2.4,3.2,6.3,5.7,336,71%,14.5,329,1.25,0.25,0.32,0.24,-113,2,-29,23.8%,9.5%,0,2
180,Carros2,,1,0%,4.0,6.0,4.0,10.0,7.6,409,61.5%,24.5,805,0.43,0.21,0.08,0,1528,102,1691,100%,0%,0,-
181,Carry,TR,32,68.8%,4.3,1.1,2.9,11.6,1.7,282,76.7%,9.1,234,3.4,1.82,0.38,0.42,435,6,309,31.3%,6.3%,0,1
182,Carzzy,CZ,36,50%,3.1,4.6,3.4,5.9,8.2,426,63.2%,28.3,723,1.66,0.61,0.45,0.17,-54,-9,-51,22.2%,8.3%,0,1
183,Cassin,KR,20,35%,2.9,1.8,2.7,6.2,5.7,322,71.9%,11.1,242,1.29,0.39,0.28,0.32,159,9,359,25%,10%,0,-
184,Casting,KR,62,64.5%,3.4,2.8,2.4,5.5,7.5,375,50.9%,19.3,498,1.19,0.45,0.19,0.2,-117,-8,-59,16.1%,11.3%,1,16
185,Castle,KR,14,28.6%,2.1,2.1,3.1,4.4,7.9,366,55%,21.5,474,1.14,0.45,0.2,0.27,38,1,-70,28.6%,0%,0,2
186,Caucha,PT,22,72.7%,3.9,4.5,2.3,4.6,8.5,434,53.2%,27.6,667,1.06,0.4,0.15,0.13,596,12,308,27.3%,4.5%,0,29
187,Cavalo,BR,18,50%,2.1,0.9,3.9,7.2,1.9,260,70.6%,8.4,172,3.32,1.63,0.56,0.44,-47,9,-56,11.1%,22.2%,0,-
188,Cboi,DK,22,45.5%,3.0,1.7,3.3,8.2,5.6,329,74.8%,11.9,275,1.55,0.45,0.34,0.26,-156,-1,6,22.7%,13.6%,0,1
189,Celo,BR,26,42.3%,4.0,3.7,2.5,6.2,8.7,414,67.6%,25.7,551,1.39,0.53,0.41,0.15,-290,-10,-242,26.9%,3.8%,0,4
190,Ceo,AR,41,70.7%,5.8,4.5,1.8,5.8,8.8,443,61.7%,23.3,657,1.42,0.57,0.31,0.16,364,13,250,17.1%,2.4%,0,2
191,Ceos,BR,25,44%,3.0,0.7,3.2,8.7,1.4,244,71.5%,7.2,159,3.53,1.85,0.47,0.49,-169,-0,-142,28%,16%,0,-
192,Cerecof,FR,18,50%,3.4,0.8,3.3,10.4,1.0,252,75.2%,7.7,191,2.92,1.54,0.25,0.41,-144,-3,-106,16.7%,33.3%,0,-
193,Cha9,TW,22,9.1%,1.5,0.7,4.5,6.0,2.0,252,70.1%,12.4,260,2.72,1.44,0.37,0.42,-93,6,63,22.7%,27.3%,0,1
194,ChaChaRon,TR,6,16.7%,2.5,3.2,4.5,8.0,8.1,394,72.6%,25.8,661,0.82,0.34,0.16,0.07,-235,10,61,16.7%,16.7%,0,2
195,Chad,US,32,50%,2.6,2.4,3.5,6.8,6.1,348,65.6%,13.1,303,1.26,0.23,0.35,0.2,58,1,-3,37.5%,6.3%,0,3
196,Charley,JP,20,15%,1.4,0.6,4.4,5.4,1.1,233,63.1%,8.5,176,3.21,1.8,0.45,0.54,-748,-25,-652,15%,30%,0,1
197,Checkfider,CZ,12,25%,2.0,3.8,4.0,4.3,7.7,379,60.7%,27.6,554,0.64,0.26,0.17,0.03,-967,-16,-422,16.7%,16.7%,0,4
198,Cheng9,TW,22,9.1%,1.8,3.0,3.6,3.4,7.6,372,62.8%,23.6,488,1.18,0.42,0.34,0.1,-568,-8,-298,18.2%,4.5%,0,2
199,Chenxuan,CN,4,0%,1.1,0.3,5.3,5.8,0.7,226,56.4%,10.2,185,2.7,1.73,0.19,0.44,-667,-5,-163,25%,50%,0,-
200,ChiCh1,TW,18,50%,3.8,4.3,2.6,5.5,8.4,417,65.9%,26.8,644,1.1,0.43,0.32,0.08,-314,6,50,27.8%,16.7%,0,2
201,Chime,CA,35,77.1%,4.7,1.0,3.0,13.2,1.1,265,75.4%,7.9,213,3.57,1.93,0.41,0.36,-41,-7,-83,34.3%,5.7%,0,-
202,Chirashi,TR,19,68.4%,3.2,2.6,2.8,6.4,7.5,380,51.9%,20.0,491,0.89,0.35,0.12,0.09,-45,-9,147,31.6%,10.5%,0,9
203,Chirp,AU,16,25%,2.3,3.2,3.8,5.6,8.0,404,56.7%,30.2,709,0.74,0.3,0.15,0.05,-215,-5,-42,18.8%,12.5%,0,2
204,Chompy,ES,3,66.7%,3.8,0.7,3.3,12.0,1.0,247,69.9%,6.0,146,2.58,1.24,0.24,0.17,-178,-11,88,33.3%,0%,0,-
