,Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,VGPG,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
25,BK ROG Esports,S14,FR,22,54.5%,1.07,1899,67,34:25,17.7,16.5,7.3,5.5,50.0,68.2,2.36,47.6,2.5,0.64,63.6,0.95,0.5,1356,4.86,0.82,50.4,32.4,2726,3.6,1.12,1.57
26,BoostGate Esports,S14,TR,32,68.8%,1.28,1898,129,31:23,16.2,12.6,7.7,4.8,46.9,71.9,2.69,59.8,3.2,0.66,65.6,1.22,0.2,1159,4.78,0.75,60.3,32.4,2560,3.2,1.04,1.44
27,BRO Challengers,S14,KR,48,45.8%,1.13,1804,-25,35:02,13.1,11.6,5.6,6.6,37.5,41.7,2.65,52.1,1.9,0.38,37.5,1.08,-0.1,-266,2.96,0.85,53.3,33.3,2139,3.9,1.57,1.77
28,BRUTE,S14,CZ,14,42.9%,1.1,1746,-43,33:48,12.9,11.7,5.5,6.7,50.0,42.9,3.0,61.2,2.9,0.79,78.6,1.21,-0.1,-189,2.86,0.79,50.0,31.2,2216,3.1,0.98,1.27
29,Burning Core Toyama,S14,JP,20,15.0%,0.5,1672,-307,29:47,8.9,17.9,3.1,8.9,30.0,15.0,1.1,23.8,2.2,0.25,25.0,0.70,-0.3,-2507,3.05,0.2,16.7,31.2,1980,3.5,1.48,1.47
30,BWE Esports,S14,PT,14,21.4%,0.63,1692,-228,32:33,12.4,19.6,3.6,7.9,42.9,28.6,2.0,41.1,1.7,0.14,14.3,0.71,-0.2,-1739,1.93,0.43,32.1,30.1,2104,2.5,0.56,1.08
31,Case Esports,S14,ES,27,63.0%,1.24,1845,73,31:13,15.3,12.3,7.2,5.1,40.7,70.4,2.7,62.3,1.6,0.37,37.0,1.04,0.1,-188,3.07,0.78,59.3,32.1,2284,3.1,1.16,1.41
32,Cerberus Esports,S14,VN,25,40.0%,0.89,1835,-50,33:21,13.1,14.8,6.4,6.6,56.0,60.0,2.12,43.5,2.8,0.72,72.0,0.92,0.1,378,4.48,0.88,52.1,33.0,2196,3.9,1.60,1.82
33,Cincinnati Fear,S14,,32,50.0%,0.94,1809,-28,31:39,14.3,15.1,5.7,6.3,56.3,50.0,2.06,44.9,2.1,0.50,51.6,0.78,-0.1,-374,3.06,0.56,40.8,32.2,2307,3.0,0.95,1.34
34,Cloud9,S14,,23,47.8%,1.1,1834,57,32:32,12.1,11.0,6.4,5.9,52.2,65.2,2.43,53.4,3.0,0.61,60.9,0.96,0.0,1024,3.48,0.78,48.9,34.2,2259,3.5,1.24,1.40
35,Comanchero Gaming,S14,TR,28,60.7%,1.22,1853,68,30:57,15.1,12.3,6.3,4.7,64.3,67.9,2.11,49.3,2.7,0.50,51.9,0.78,0.5,916,4.74,0.71,58.7,32.3,2288,3.1,1.04,1.18
36,Crvena zvezda Esports,S14,RS,14,42.9%,1.16,1789,-25,35:06,16.0,13.7,5.8,6.2,57.1,35.7,2.71,53.3,2.0,0.64,64.3,1.00,-0.3,-565,3.50,0.57,39.3,31.0,2380,2.8,0.86,1.19
37,CTBC Flying Oyster,S14,PCS,32,65.6%,1.27,1878,123,31:33,13.6,10.7,6.9,4.4,50.0,59.4,2.59,58.9,3.2,0.50,50.0,1.00,0.2,393,3.16,0.69,56.7,33.6,2396,4.0,1.37,1.70
38,Cyber Wolves,S14,RS,13,15.4%,0.54,1739,-260,30:08,12.2,22.3,4.2,8.8,46.2,46.2,1.23,28.7,4.2,0.54,53.8,0.46,0.0,-632,4.08,0.46,34.6,30.5,2415,2.7,0.55,0.91
39,Dango,S14,ES,14,50.0%,1.23,1806,49,35:21,16.4,13.2,6.7,6.3,57.1,64.3,2.07,43.4,3.0,0.50,53.8,0.79,0.4,542,3.43,0.86,55.8,31.2,2518,3.1,1.11,1.22
40,Dark Passage,S14,TR,23,56.5%,1.14,1843,38,34:04,15.4,13.5,7.1,6.0,60.9,39.1,2.43,48.8,1.5,0.48,47.8,0.96,0.0,-738,3.22,1.04,64.4,31.9,2233,3.5,1.22,1.43
41,Deep Cross Gaming,S14,PCS,42,54.8%,1.06,1897,65,30:30,17.0,16.0,6.0,5.4,38.1,47.6,2.55,61.1,2.9,0.31,31.7,1.14,0.1,408,4.79,0.57,52.6,31.9,2941,3.2,1.20,1.66
42,Detonation FocusMe,S14,JP,39,74.4%,1.41,1918,172,30:09,16.0,11.3,7.5,4.1,56.4,74.4,2.41,58.7,1.6,0.49,51.4,0.95,0.7,1395,5.77,0.79,61.4,32.7,2578,3.3,1.36,1.67
43,devils.one,S14,PL,13,38.5%,0.93,1744,-94,31:45,13.3,14.3,4.6,7.6,46.2,46.2,2.46,55.3,2.6,0.46,46.2,1.08,0.0,-298,3.00,0.31,29.2,31.3,2237,2.7,0.62,1.13
44,Diamant Esports,S14,RS,21,57.1%,1.17,1829,30,33:44,17.9,15.3,6.3,6.3,57.1,57.1,2.86,61.2,1.0,0.14,15.0,1.29,0.1,752,2.81,0.86,52.8,31.0,2514,2.7,0.87,1.20
45,Dignitas,S14,,18,38.9%,0.85,1747,-88,31:05,11.0,12.9,5.0,6.4,55.6,44.4,2.17,48.6,2.5,0.50,52.9,1.00,-0.1,-136,3.17,0.5,41.7,32.6,2322,3.2,1.02,1.65
46,Dire Wolves,S14,OCE,14,21.4%,0.69,1731,-238,30:25,12.9,18.9,4.3,8.7,14.3,21.4,1.43,32.5,1.6,0.14,14.3,0.71,-0.6,-2144,3.86,0.36,21.4,30.8,2185,3.0,0.90,1.02
47,Direct Rising eSports,S14,DE,21,33.3%,0.77,1802,-112,31:19,12.8,16.5,5.5,7.5,52.4,47.6,1.86,39.3,3.1,0.38,38.1,0.76,-0.1,-573,4.10,0.81,45.2,32.2,2293,2.9,0.80,1.17
48,Disguised,S14,,32,46.9%,0.9,1813,-50,31:41,14.1,15.6,6.0,5.9,53.1,31.3,2.09,45.3,3.2,0.44,45.2,0.84,-0.2,-856,3.84,0.78,51.1,32.2,2482,3.1,1.01,1.22
49,DK Challengers,S14,KR,59,62.7%,1.18,1859,91,33:10,14.3,12.1,6.5,5.3,42.4,49.2,2.53,51.8,2.4,0.34,34.5,0.88,0.0,-80,3.31,0.75,56.5,33.9,2313,3.3,1.27,1.77
50,DKB Diamonds,S14,DE,23,56.5%,1.16,1919,65,30:42,17.3,14.9,7.2,6.7,39.1,39.1,2.57,55.7,3.4,0.57,56.5,1.04,0.0,-601,3.65,0.91,63.8,32.4,2355,2.8,0.69,1.15
51,DMG Esports,S14,EUW,14,21.4%,0.57,1707,-335,29:34,11.2,19.5,3.2,9.1,28.6,7.1,1.43,33.0,2.4,0.36,35.7,0.86,-0.9,-2476,2.57,0.57,32.1,30.7,2056,3.0,0.76,1.08
52,Dplus KIA,S14,KR,55,47.3%,1.08,1827,23,34:36,12.1,11.2,6.3,6.3,70.9,54.5,2.27,48.4,1.9,0.45,46.3,0.73,0.1,402,3.89,0.8,52.7,33.7,2181,4.0,1.48,1.92
53,DREN Esports,S14,IT,14,14.3%,0.49,1657,-363,30:18,9.6,19.7,3.0,9.3,57.1,28.6,1.5,34.5,2.1,0.29,30.8,0.86,-0.4,-2164,2.14,0.14,11.5,30.9,1909,2.6,0.73,1.08
54,DRX,S14,KR,43,25.6%,0.61,1698,-214,32:48,8.2,13.4,4.1,7.5,41.9,32.6,1.88,38.2,2.6,0.56,55.8,0.86,-0.2,-793,2.60,0.4,28.3,33.0,2057,3.7,1.30,1.71
55,DRX Challengers,S14,KR,45,46.7%,0.94,1826,-23,32:53,13.3,14.2,6.0,6.3,26.7,46.7,1.93,42.5,2.8,0.53,53.3,0.60,0.2,-181,3.20,0.71,50.0,33.1,2408,3.7,1.39,1.82
56,Dsyre Esports,S14,IT,23,73.9%,1.53,1945,248,31:02,15.7,10.3,8.5,4.0,65.2,69.6,2.52,59.9,4.2,0.74,73.9,1.00,0.5,2014,5.17,0.83,66.7,34.0,2398,3.3,1.22,1.37
57,Dynamo Eclot,S14,CZ,14,21.4%,0.68,1713,-238,31:55,11.9,17.5,3.6,8.8,50.0,14.3,1.64,36.1,2.9,0.29,28.6,0.57,-0.6,-2307,1.86,0.29,13.1,31.3,2022,2.8,0.78,1.19
58,Dynasty,S14,BE,14,7.1%,0.49,1678,-379,31:22,11.1,22.4,3.7,9.3,50.0,28.6,1.57,34.6,2.3,0.50,50.0,0.64,-0.4,-2496,3.14,0.5,19.6,29.3,2212,2.8,0.59,1.04
59,E WIE EINFACH E-SPORTS,S14,DE,18,50.0%,0.96,1830,-68,32:49,15.2,15.8,5.9,7.1,55.6,55.6,1.67,36.0,3.2,0.39,38.9,0.78,-0.2,-1078,3.67,0.56,37.3,32.6,2297,2.9,0.83,1.16
60,ECORP,S14,ES,13,38.5%,0.99,1764,-66,33:34,13.5,13.7,5.6,7.0,38.5,53.8,2.23,42.1,2.9,0.38,45.5,0.54,0.0,564,2.46,0.85,47.4,31.8,2083,2.9,0.91,1.27
61,Edward Gaming,S14,CN,41,26.8%,0.64,1744,-181,32:55,10.8,16.7,4.6,8.0,39.0,29.3,1.76,40.1,-,-,-,-,-,-,-,0.54,29.7,32.6,2196,-,-,-
62,EGN Esports,S14,PT,27,74.1%,1.32,1997,227,29:17,19.0,14.3,8.0,4.0,51.9,63.0,2.48,61.9,3.6,0.78,77.8,1.26,0.2,1185,5.59,1.0,68.3,32.0,2646,2.9,0.78,1.16
