,Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,VGPG,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
110,Hanwha Life eSports,S14,KR,55,69.1%,1.48,1888,142,32:23,15.0,10.1,6.8,4.7,50.9,54.5,2.58,55.5,2.2,0.58,58.2,1.04,0.1,467,3.51,0.82,61.2,34.1,2390,3.7,1.36,1.96
111,HELL PIGS,S14,PCS,22,22.7%,0.65,1721,-272,30:44,12.5,19.4,3.2,8.0,40.9,18.2,1.45,29.7,2.0,0.27,27.3,0.68,-0.4,-1836,2.68,0.32,27.5,31.6,2223,3.5,1.17,1.47
112,Hell Zerolag Esports,S14,GR,14,28.6%,0.58,1729,-288,27:56,11.4,19.8,4.0,8.1,50.0,28.6,1.5,37.3,1.7,0.29,28.6,0.71,-0.4,-2036,2.50,0.57,42.3,30.5,2255,2.4,0.61,0.99
113,Heracles Gaming,S14,ES,20,55.0%,0.9,1787,-13,33:42,13.4,14.9,6.4,6.1,35.0,60.0,2.55,50.5,2.4,0.50,50.0,0.85,-0.1,-379,4.50,0.75,52.5,31.5,2377,2.9,1.02,1.37
114,Heretics Academy,S14,ES,26,73.1%,1.36,1919,175,32:17,17.0,12.5,7.6,4.4,42.3,61.5,2.62,59.4,3.5,0.46,46.2,0.88,0.2,1231,4.77,0.88,64.7,33.2,2493,3.1,0.96,1.64
115,HLE Challengers,S14,KR,55,56.4%,1.18,1824,37,33:27,12.7,10.7,6.0,5.5,56.4,36.4,2.71,55.7,2.3,0.56,57.4,1.18,-0.2,-71,2.67,0.87,53.1,34.0,2158,3.5,1.29,1.63
116,Hurricane of Feathers,S14,PT,17,47.1%,0.78,1794,-50,33:06,13.5,17.3,6.2,6.7,47.1,35.3,1.94,38.1,3.2,0.59,58.8,0.88,0.2,-485,4.35,0.71,52.1,31.6,2234,2.6,0.53,1.22
117,Huya BUG,S14,CN,4,25.0%,0.56,1699,-246,32:58,11.0,19.8,4.3,8.0,25.0,25.0,1.5,25.0,-,-,-,-,-,-,-,0.5,25.0,32.8,1781,-,-,-
118,Huya RST,S14,CN,3,0.0%,0.25,1580,-543,23:26,5.3,21.0,1.3,9.3,100.0,-,0.33,8.3,-,-,-,-,-,-,-,0.0,0.0,30.1,1381,-,-,-
119,Ici Japon Corp. Esport,S14,FR,32,78.1%,1.26,1966,185,31:30,19.5,15.5,8.3,4.4,50.0,62.5,2.59,61.0,2.0,0.34,35.5,1.13,0.3,343,4.66,0.88,69.8,32.3,2737,2.9,1.10,1.54
120,Immortals,S14,,14,28.6%,0.8,1740,-105,34:38,10.6,13.3,5.5,7.3,57.1,42.9,2.14,42.2,2.6,0.64,64.3,0.79,-0.1,-139,2.79,0.36,29.5,33.2,2168,3.8,1.39,1.80
121,Infinity eSports,S14,LAT,28,17.9%,0.6,1677,-246,32:23,8.8,14.7,3.9,8.5,46.4,25.0,1.54,33.3,2.2,0.43,42.9,0.50,-0.2,-445,3.04,0.46,18.5,31.9,1971,3.3,1.09,1.53
122,INTZ Academy,S14,BR,15,0.0%,0.39,1593,-436,31:06,7.3,18.9,2.3,9.8,26.7,26.7,0.67,13.9,2.1,0.33,33.3,0.40,-0.3,-2119,2.60,0.13,8.9,30.7,2000,3.0,1.16,1.18
123,INTZ e-Sports,S14,BR,18,16.7%,0.61,1662,-235,35:08,10.8,17.7,3.8,8.6,38.9,22.2,2.39,43.2,2.2,0.61,64.7,1.00,-0.3,-1150,3.56,0.56,27.9,30.1,2199,3.5,1.36,1.59
124,Invictus Gaming,S14,CN,48,50.0%,0.9,1799,-24,31:39,12.1,13.4,5.3,5.8,54.2,37.5,2.21,50.1,-,-,-,-,-,-,-,0.71,50.7,33.1,2296,-,-,-
125,ION Global Esports,S14,OCE,18,38.9%,0.95,1807,-86,29:43,13.9,14.6,5.1,6.9,66.7,38.9,2.06,50.6,3.4,0.56,55.6,0.67,-0.3,-128,4.00,0.61,41.7,32.8,2244,2.6,0.76,1.10
126,Iron Wolves,S14,PL,13,38.5%,0.78,1805,-91,34:13,14.4,18.5,5.2,6.8,38.5,38.5,2.46,46.1,2.8,0.23,23.1,1.00,0.2,17,4.00,0.92,48.6,32.8,2359,2.7,0.88,1.38
127,Isurus,S14,LAT,39,53.8%,1.06,1856,23,30:30,16.7,15.8,6.0,5.9,56.4,51.3,1.95,47.8,3.0,0.67,66.7,0.74,-0.1,-220,3.23,0.77,59.2,31.1,2552,3.2,1.10,1.48
128,IZI Dream,S14,FR,27,74.1%,1.32,1989,220,32:32,22.3,16.8,8.1,4.4,40.7,51.9,3.07,69.4,1.9,0.48,48.1,1.22,0.5,1566,5.33,0.96,66.7,32.3,3134,3.0,0.80,1.48
129,J Team,S14,PCS,29,44.8%,0.97,1787,-78,31:27,13.6,14.0,5.0,6.6,55.2,41.4,1.59,35.5,2.7,0.55,57.1,0.55,-0.2,-1217,2.79,0.62,43.8,32.0,2323,3.9,1.52,1.35
130,JD Gaming,S14,CN,65,61.5%,1.13,1876,84,33:04,13.6,12.0,6.7,5.2,43.1,44.6,2.71,57.9,-,-,-,-,-,-,-,0.86,57.0,34.2,2315,-,-,-
131,Joblife,S14,FR,25,60.0%,1.25,1942,141,31:54,22.1,17.5,7.5,4.9,64.0,76.0,2.04,49.0,3.2,0.80,83.3,0.64,0.4,1933,5.96,0.92,65.3,30.4,2960,3.7,1.43,1.12
132,KaBuM! Academy,S14,BR,22,72.7%,1.48,1894,177,31:44,16.3,10.9,7.9,4.5,77.3,86.4,2.68,59.7,2.9,0.55,54.5,1.05,0.6,1718,5.55,1.05,77.8,32.1,2357,3.7,1.40,1.60
133,KaBuM! e-Sports,S14,BR,25,44.0%,1.01,1775,-24,33:52,12.1,12.0,5.4,7.0,44.0,52.0,2.4,48.4,2.4,0.32,33.3,1.28,0.0,-740,3.20,0.64,46.0,32.6,2241,3.6,1.31,1.69
134,Kanga Esports,S14,OCE,16,43.8%,0.92,1794,-94,31:59,14.5,15.8,5.3,6.8,68.8,31.3,2.19,43.4,2.2,0.44,43.8,0.94,-0.4,-252,3.56,0.69,40.6,31.6,2279,3.0,0.85,1.25
135,Karmine Corp,S14,EUW,18,22.2%,0.74,1759,-122,32:49,11.1,15.0,3.9,7.7,55.6,44.4,2.28,46.7,2.6,0.61,61.1,0.89,-0.1,-388,3.28,0.5,32.4,33.2,2170,3.7,1.18,1.61
136,Karmine Corp Blue,S14,FR,29,65.5%,1.21,1893,114,33:10,14.9,12.3,7.1,5.3,51.7,62.1,2.72,61.0,2.8,0.55,55.2,1.03,0.1,310,3.90,0.93,64.4,33.7,2312,3.7,1.31,1.74
137,Kaufland Hangry Knights,S14,DE,28,67.9%,1.37,1949,192,29:08,16.7,12.2,8.0,4.7,64.3,75.0,2.57,65.4,2.9,0.71,71.4,1.14,0.7,2277,6.46,0.71,59.3,33.0,2623,2.9,0.72,1.07
138,KDF Challengers,S14,KR,44,50.0%,0.84,1863,12,33:07,12.7,15.1,6.9,5.3,50.0,70.5,2.23,49.8,3.0,0.52,52.3,0.95,0.0,554,5.02,0.82,48.3,34.5,2424,3.9,1.45,1.76
139,Keypulse Esports,S14,PT,13,30.8%,0.79,1739,-183,33:14,13.5,17.0,4.4,7.9,61.5,23.1,2.0,39.3,2.2,0.23,23.1,1.08,-0.5,-1240,2.08,0.38,29.2,31.5,2232,2.8,0.74,1.22
140,Kim Esports,S14,TR,21,52.4%,1.05,1820,21,31:10,14.9,14.2,6.2,5.6,52.4,42.9,2.71,61.8,2.0,0.57,60.0,1.15,-0.1,-361,3.20,0.67,52.6,31.9,2379,2.8,0.83,1.01
141,Klanik Esport,S14,FR,18,16.7%,0.61,1747,-207,30:39,10.8,17.7,4.3,8.4,55.6,27.8,1.33,29.6,2.8,0.50,50.0,0.44,-0.4,-739,3.39,0.33,22.2,32.5,2132,2.8,0.71,1.27
142,KRC Genk Esports,S14,BE,26,73.1%,1.63,1964,228,32:13,19.9,12.2,8.1,4.7,57.7,57.7,3.08,66.0,1.8,0.35,36.0,1.35,0.1,1047,3.77,1.23,84.8,32.1,2714,3.2,0.98,1.24
143,KT Challengers,S14,KR,62,64.5%,1.33,1872,100,32:11,16.6,12.4,6.8,5.0,59.7,64.5,2.81,61.2,2.5,0.65,64.5,1.21,0.2,986,4.06,0.71,56.8,32.3,2633,3.5,1.34,1.70
144,KT Rolster,S14,KR,49,57.1%,1.1,1833,17,33:56,13.9,12.5,6.0,5.7,46.9,57.1,2.55,52.0,2.1,0.57,58.3,0.94,0.0,231,3.31,0.82,50.0,33.2,2328,3.8,1.55,1.70
145,Kwangdong Freecs,S14,KR,46,39.1%,0.74,1784,-105,33:25,11.5,15.7,5.0,6.2,37.0,52.2,2.35,48.9,3.0,0.46,45.7,0.78,-0.1,-633,3.48,0.67,39.3,33.7,2271,3.6,1.35,1.78
146,Leviatan,S14,LAT,35,34.3%,0.8,1746,-133,31:43,11.3,14.1,5.1,7.2,48.6,37.1,1.86,41.0,2.6,0.51,51.4,0.89,-0.1,-1203,2.77,0.54,42.1,31.4,2126,4.0,1.44,1.58
147,LGD Gaming,S14,CN,44,45.5%,0.88,1835,-25,33:30,12.7,14.5,5.6,6.0,45.5,45.5,2.25,48.6,-,-,-,-,-,-,-,0.66,41.7,33.7,2370,-,-,-
148,Liberty,S14,BR,18,50.0%,0.76,1769,-59,32:56,11.6,15.1,5.2,6.4,22.2,22.2,1.67,32.6,2.4,0.33,35.3,0.39,-0.1,-847,3.28,1.0,51.9,32.5,2029,3.3,1.08,1.75
149,Liberty Academy,S14,BR,21,42.9%,0.82,1835,-44,29:03,14.3,17.5,5.7,6.1,47.6,52.4,1.38,36.7,1.8,0.38,40.0,0.67,0.4,66,4.33,0.62,44.7,31.3,2477,3.0,0.81,1.19
150,Lille Esport,S14,FR,18,50.0%,0.99,1835,-5,30:20,14.6,14.7,5.6,6.1,27.8,61.1,2.83,63.7,1.6,0.44,44.4,1.11,-0.2,-462,3.17,0.61,50.0,31.9,2442,2.9,0.96,1.12
151,Lionscreed,S14,EUW,23,69.6%,1.6,1937,192,31:31,17.6,11.0,7.3,4.6,73.9,47.8,2.35,56.7,2.2,0.48,47.8,0.96,0.0,1059,4.26,0.87,60.9,34.2,2478,3.0,1.08,1.33
152,LiT Esports,S14,,21,28.6%,0.63,1743,-203,30:03,12.0,19.0,4.7,7.8,19.0,28.6,1.38,30.7,3.1,0.38,38.1,0.57,-0.1,-1931,3.38,0.43,36.8,30.5,2315,2.8,0.70,1.20
153,LNG Esports,S14,CN,50,52.0%,1.15,1835,35,32:24,12.3,10.7,5.8,5.9,44.0,38.0,2.28,48.4,-,-,-,-,-,-,-,0.72,47.8,33.8,2196,-,-,-
154,Los Grandes,S14,BR,26,42.3%,1.01,1783,-76,36:08,13.9,13.7,5.7,7.2,69.2,42.3,2.46,45.4,2.5,0.42,44.0,0.77,0.0,328,3.12,0.96,44.0,32.3,2120,4.2,1.48,1.64
155,Los Grandes Academy,S14,BR,15,20.0%,0.81,1772,-126,32:32,13.0,16.0,5.0,7.9,53.3,46.7,1.47,29.7,3.4,0.53,53.3,0.40,-0.1,255,4.07,0.47,26.7,32.3,2240,3.1,1.17,1.58
156,LOUD,S14,BR,25,72.0%,1.22,1857,98,34:21,15.8,12.9,7.7,4.8,40.0,48.0,2.92,57.2,2.6,0.68,70.8,0.96,0.2,290,4.56,0.96,60.4,32.2,2441,3.7,1.36,1.68
157,LOUD Academy,S14,BR,28,64.3%,1.46,1870,142,32:32,16.8,11.4,7.1,4.9,53.6,57.1,2.82,62.4,2.7,0.71,71.4,1.25,0.0,678,4.61,1.14,65.2,31.6,2374,3.3,1.25,1.51
158,LUA Gaming,S14,ES,22,68.2%,1.1,1836,105,34:33,14.9,13.6,7.3,5.2,36.4,50.0,3.09,60.7,2.0,0.73,72.7,1.27,-0.1,-596,4.23,0.95,66.3,31.6,2532,3.0,0.96,1.28
159,Lundqvist Lightside,S14,EUW,14,42.9%,0.91,1818,-40,32:16,12.9,14.2,6.0,6.4,42.9,50.0,2.29,51.1,1.7,0.43,42.9,1.00,-0.1,60,3.21,0.57,48.7,33.1,2346,3.1,0.94,1.20
160,Lupus Esports,S14,RS,18,55.6%,0.95,1817,-5,32:46,13.6,14.3,6.2,6.3,50.0,50.0,2.72,57.4,2.1,0.56,58.8,1.44,0.0,107,4.00,0.67,48.0,32.7,2443,3.0,0.95,1.16
161,Lynch Esports,S14,TR,25,56.0%,1.05,1828,-4,32:13,17.6,16.7,6.0,6.2,36.0,32.0,2.4,51.0,2.5,0.32,33.3,1.00,-0.3,-371,2.33,0.6,41.3,31.1,2720,3.0,0.67,1.14
162,Macko Esports,S14,IT,33,69.7%,1.33,1923,185,30:25,16.2,12.2,7.6,4.5,48.5,66.7,2.85,65.7,2.2,0.52,53.1,1.38,0.4,883,5.03,0.97,73.1,32.6,2526,3.1,1.00,1.15
163,MAD Lions KOI,S14,EUW,45,48.9%,1.0,1843,6,31:37,14.3,14.3,6.4,6.2,57.8,48.9,2.0,47.5,2.9,0.58,57.8,0.73,0.2,413,4.38,0.73,52.7,32.1,2340,3.4,1.17,1.68
164,MAMMOTH,S14,OCE,12,16.7%,0.67,1702,-263,28:58,11.8,17.5,3.3,8.1,33.3,41.7,1.83,44.9,3.7,0.42,41.7,0.92,-0.3,-778,4.42,0.25,16.7,30.7,2172,3.2,1.10,1.24
165,Maryville University,S14,,37,64.9%,1.3,1913,131,30:37,16.7,12.8,6.9,5.0,56.8,56.8,2.73,61.4,2.3,0.46,45.9,1.16,0.3,1324,4.35,0.76,58.3,33.0,2646,3.0,1.03,1.37
166,MAX,S14,CN,4,25.0%,0.68,1710,-300,30:13,15.8,22.8,3.5,8.3,50.0,-,1.5,27.9,-,-,-,-,-,-,-,0.25,12.5,29.0,2716,-,-,-
167,mCon esports,S14,BE,17,52.9%,0.96,1865,50,33:07,15.5,16.1,7.1,5.9,35.3,70.6,2.65,56.9,3.8,0.35,35.3,0.94,0.4,968,3.88,0.94,59.4,32.2,2578,2.8,0.82,1.16
168,MGN Blue Esports,S14,VN,28,39.3%,0.79,1800,-158,32:11,14.3,18.0,4.9,7.5,42.9,28.6,1.86,38.8,2.3,0.61,60.7,0.57,-0.1,-1141,2.96,0.82,42.3,31.6,2509,4.0,1.61,1.85
169,MHSC Esport,S14,FR,25,48.0%,1.19,1842,35,33:09,17.1,14.3,6.1,6.4,52.0,64.0,2.32,48.3,4.1,0.72,72.0,0.76,0.0,378,4.00,0.92,56.3,31.0,2481,3.4,1.19,1.27
170,MiaoJing,S14,CN,3,33.3%,0.79,1764,-242,23:06,11.0,14.0,2.3,7.7,33.3,33.3,1.0,33.3,-,-,-,-,-,-,-,0.33,33.3,30.8,1816,-,-,-
171,Mirage Alliance,S14,,22,18.2%,0.7,1721,-237,31:39,12.6,18.0,4.3,8.7,45.5,36.4,1.77,37.7,2.0,0.64,63.6,0.91,-0.3,-785,4.00,0.36,25.8,30.8,2252,2.9,0.92,1.12
172,Misa Esports,S14,TR,18,38.9%,0.91,1824,-61,32:33,14.2,15.6,5.4,6.8,50.0,44.4,2.06,51.1,1.1,0.39,38.9,0.72,0.0,-150,3.00,0.5,35.2,32.7,2238,3.0,1.16,1.45
173,MOUZ NXT,S14,DE,18,0.0%,0.43,1661,-446,29:25,10.4,24.1,2.7,9.7,27.8,16.7,1.61,37.9,1.4,0.28,27.8,0.94,-0.6,-3277,2.17,0.22,9.3,29.8,2190,2.9,0.74,1.01
174,Movistar KOI,S14,ES,23,47.8%,0.98,1824,6,33:26,15.9,16.1,6.6,6.3,52.2,52.2,1.91,36.9,3.0,0.30,30.4,0.65,0.2,205,3.65,0.74,50.0,31.1,2468,3.1,1.02,1.40
175,Movistar R7,S14,LAT,41,70.7%,1.35,1929,194,30:14,16.2,12.0,7.7,4.1,53.7,80.5,2.76,67.0,2.8,0.51,51.2,1.00,0.4,1450,5.34,0.66,64.1,33.3,2759,3.4,1.26,1.55
176,Mubeccel Espor,S14,TR,17,35.3%,0.88,1833,-64,29:34,15.8,17.8,5.2,6.6,29.4,52.9,1.53,38.0,3.5,0.35,37.5,0.75,-0.1,-246,4.31,0.59,50.0,31.5,2490,2.5,0.91,1.12
177,Myth Esports,S14,BE,14,57.1%,1.24,1899,64,31:18,19.0,15.3,6.8,6.2,42.9,57.1,2.57,55.7,2.2,0.43,46.2,0.86,0.3,601,3.36,0.36,35.7,31.9,2628,2.5,0.48,1.17
178,NASR eSports Turkey,S14,TR,14,28.6%,0.79,1769,-104,34:35,13.3,16.8,5.4,7.5,28.6,50.0,2.21,46.9,1.8,0.43,42.9,0.93,0.2,353,3.71,0.57,35.7,32.1,2164,3.3,1.20,1.56
179,Nativz,S14,EUW,14,42.9%,0.97,1890,49,34:46,17.2,17.8,7.2,6.0,50.0,50.0,3.07,65.4,2.7,0.36,38.5,1.36,-0.1,-652,3.79,0.86,62.8,32.6,2567,3.3,1.13,1.49
180,Nigma Galaxy Male,S14,AL,28,78.6%,1.18,1978,190,30:33,18.9,15.9,7.8,4.4,53.6,60.7,2.46,57.8,2.4,0.68,67.9,1.11,0.1,498,5.43,0.61,59.7,33.3,2726,3.0,0.98,1.55
181,Ninjas in Pyjamas,S14,CN,65,55.4%,1.18,1845,40,32:20,13.8,11.7,6.3,5.7,69.2,33.8,2.4,54.7,-,-,-,-,-,-,-,0.8,57.7,33.1,2472,-,-,-
182,NNO Prime,S14,DE,28,60.7%,1.41,1899,92,33:34,17.8,12.7,7.1,5.8,64.3,46.4,3.04,59.3,3.0,0.79,78.6,1.11,0.0,697,3.54,1.36,60.1,31.9,2587,3.6,1.17,1.44
183,NONAME,S14,TR,34,70.6%,1.16,1965,184,29:32,17.9,15.4,7.7,4.1,35.3,70.6,2.32,56.1,3.6,0.53,56.3,0.78,0.5,1265,5.38,0.82,68.3,32.6,2576,2.4,0.65,1.15
184,Nongshim RedForce,S14,KR,44,31.8%,0.7,1751,-161,32:57,9.8,13.8,4.6,6.9,52.3,38.6,2.07,43.4,2.7,0.34,36.6,0.77,-0.2,-776,2.66,0.52,32.2,33.5,2134,3.8,1.53,1.81
185,Nord Esports,S14,EUW,22,50.0%,1.14,1834,-15,33:21,15.3,13.5,6.8,6.5,45.5,54.5,2.55,52.0,2.6,0.64,63.6,0.86,0.0,114,3.91,0.82,50.8,32.6,2285,3.3,1.20,1.33
186,NRG,S14,,20,40.0%,0.83,1772,-93,34:43,12.4,14.9,5.1,7.5,45.0,35.0,2.2,42.7,2.3,0.35,36.8,0.75,-0.2,-446,3.55,0.75,39.2,32.7,2313,3.5,1.14,1.64
187,NS Challengers,S14,KR,59,55.9%,0.99,1850,44,33:36,13.0,13.1,6.2,5.4,59.3,50.8,2.15,44.2,2.5,0.39,39.0,0.71,0.0,208,3.49,0.85,56.7,34.1,2325,3.6,1.40,1.82
188,Odivelas Sports Club,S14,PT,14,7.1%,0.55,1660,-289,31:51,10.8,19.6,3.6,8.8,21.4,57.1,1.5,33.3,2.9,0.57,57.1,0.71,-0.1,-1149,3.14,0.29,18.1,30.0,2170,2.8,0.92,1.13
189,OGC Sigma Esports,S14,CZ,18,50.0%,1.13,1772,-14,32:31,13.1,11.6,5.9,5.9,33.3,50.0,2.11,43.3,3.5,0.44,44.4,0.67,0.3,-48,3.28,0.67,50.0,31.1,2174,3.0,0.87,1.33
190,OK BRION,S14,KR,41,19.5%,0.62,1700,-253,32:10,9.1,14.7,3.2,8.1,39.0,19.5,1.44,30.8,2.0,0.44,45.0,0.73,-0.2,-1269,2.05,0.39,24.4,33.3,2083,3.5,1.47,1.79
191,OMG,S14,CN,44,47.7%,1.04,1822,-19,31:01,12.0,11.5,5.4,6.0,40.9,45.5,1.95,43.3,-,-,-,-,-,-,-,0.7,50.0,33.8,2266,-,-,-
192,Once Upon A Team,S14,BE,14,21.4%,0.55,1695,-308,32:55,11.1,20.4,3.5,9.0,21.4,21.4,1.5,31.4,1.7,0.43,46.2,0.85,-0.4,-2215,3.08,0.5,22.4,31.1,2098,2.6,0.89,1.15
193,One More Esports,S14,AL,14,28.6%,0.82,1842,-68,33:13,15.5,18.9,5.4,7.4,57.1,50.0,2.93,58.1,2.6,0.43,42.9,1.07,0.3,311,3.86,0.86,53.8,32.5,2502,3.0,0.90,1.28
194,Orbit Anonymo,S14,PL,22,72.7%,1.3,1969,176,31:58,19.9,15.2,8.0,4.6,54.5,45.5,2.82,58.4,2.5,0.32,33.3,1.00,0.1,670,4.36,0.73,60.3,33.2,2678,3.1,0.71,1.26
195,Oxygen Kumiho,S14,ES,14,50.0%,1.01,1845,75,34:48,15.2,15.0,7.5,5.6,50.0,42.9,3.29,65.4,2.7,0.29,30.8,1.21,0.2,1271,4.29,0.93,57.1,32.7,2715,3.0,0.94,1.30
196,paiN Academy,S14,BR,19,73.7%,1.43,1917,177,31:58,17.1,11.8,8.1,4.8,57.9,57.9,2.68,59.8,2.4,0.58,57.9,1.00,-0.1,245,3.79,1.16,84.2,32.0,2524,3.5,1.51,1.65
197,paiN Gaming,S14,BR,35,60.0%,1.13,1841,59,34:26,15.2,13.4,6.6,5.3,65.7,62.9,2.66,52.0,2.1,0.29,32.3,0.80,0.0,407,4.91,1.0,63.4,32.9,2451,4.1,1.54,1.78
198,Papara SuperMassive,S14,TR,26,61.5%,1.22,1905,116,33:45,17.2,14.1,7.5,5.6,38.5,50.0,2.23,48.7,3.0,0.77,76.9,0.73,0.0,960,4.04,0.96,60.6,32.9,2363,3.4,1.10,1.42
199,Partizan Esports,S14,RS,14,7.1%,0.45,1627,-362,28:59,8.0,17.7,2.2,9.3,14.3,7.1,0.93,22.1,1.3,0.14,14.3,0.43,-0.4,-2173,2.07,0.14,7.7,30.3,1996,2.6,0.68,0.97
200,PCIFIC Espor,S14,TR,18,33.3%,0.91,1788,-131,30:47,15.9,17.3,4.9,7.4,50.0,50.0,2.22,47.7,3.0,0.28,29.4,1.24,-0.1,-377,2.88,0.61,37.5,30.7,2418,2.6,0.76,0.89
201,Phoenix Esports,S14,TR,27,66.7%,1.46,1920,169,30:47,17.6,12.1,6.9,4.8,63.0,55.6,2.63,59.4,2.5,0.67,72.0,1.08,0.0,623,3.04,0.85,64.0,32.5,2550,3.1,0.96,1.20
202,PRINCIPALITY,S14,ES,13,15.4%,0.52,1633,-330,31:58,9.2,17.8,3.5,9.1,30.8,30.8,1.85,35.3,2.8,0.38,38.5,0.92,-0.4,-1638,2.69,0.31,19.2,29.9,2125,3.0,0.83,1.23
203,Project Conquerors,S14,FR,18,16.7%,0.58,1671,-352,30:29,11.8,20.4,2.6,8.9,38.9,16.7,1.17,26.0,1.9,0.22,22.2,0.72,-0.8,-2576,2.67,0.28,13.9,29.9,2190,2.9,0.94,1.19
204,PSG Talon,S14,PCS,39,71.8%,1.72,1947,245,30:11,16.0,9.3,7.4,3.8,53.8,64.1,2.51,64.7,2.9,0.69,69.2,1.10,-0.1,1478,3.69,0.79,72.4,33.8,2602,3.6,1.29,1.82
205,RA AD,S14,AL,14,7.1%,0.47,1626,-445,27:30,8.4,18.0,2.1,9.3,50.0,7.1,1.14,26.4,1.6,0.14,14.3,0.71,-1.1,-3697,1.57,0.07,7.7,30.1,1715,2.9,0.78,1.14
206,Rainbow Warriors,S14,VN,24,0.0%,0.53,1718,-386,30:38,11.2,20.9,2.7,9.9,45.8,20.8,1.04,20.6,2.3,0.33,33.3,0.46,-0.7,-2121,3.46,0.13,4.9,31.9,2054,3.3,1.27,1.54
207,Ramboot Club,S14,ES,18,50.0%,1.02,1850,35,32:20,14.4,14.2,6.5,6.2,55.6,55.6,1.94,40.3,3.1,0.39,38.9,0.56,0.2,582,4.44,0.72,45.4,32.5,2308,3.3,1.26,1.51
208,Rare Atom,S14,CN,49,32.7%,0.86,1756,-128,32:23,12.2,14.2,4.4,7.1,53.1,38.8,2.0,43.4,-,-,-,-,-,-,-,0.69,44.0,32.6,2139,-,-,-
209,Rebels Gaming,S14,ES,18,38.9%,0.76,1748,-143,34:08,13.9,18.2,5.2,7.4,38.9,44.4,2.22,47.0,3.0,0.50,50.0,0.94,-0.4,-1246,3.39,0.61,38.0,30.9,2348,3.4,1.10,1.40
210,RED Academy,S14,BR,21,47.6%,1.0,1820,-10,31:56,15.1,15.0,6.5,6.1,52.4,57.1,2.14,48.9,2.7,0.48,47.6,0.90,0.3,860,4.67,0.67,43.3,31.1,2602,3.3,1.37,1.38
211,RED Canids,S14,BR,31,61.3%,1.28,1831,92,35:49,15.5,12.1,7.8,5.4,51.6,74.2,3.19,61.8,2.6,0.58,58.1,1.16,0.3,879,4.23,0.9,53.1,32.0,2373,3.6,1.28,1.64
212,Rogue,S14,EUW,19,26.3%,0.73,1734,-154,32:16,9.6,13.2,4.6,7.8,42.1,31.6,1.84,38.3,2.2,0.53,52.6,0.68,-0.1,-378,3.68,0.32,26.5,32.9,2021,3.2,0.89,1.44
213,ROSSMANN Centaurs,S14,DE,27,63.0%,0.99,1935,50,31:16,17.6,17.8,7.6,6.3,44.4,51.9,1.96,44.9,2.5,0.52,51.9,0.70,0.0,265,5.11,0.74,47.5,32.1,2534,2.7,0.77,1.04
214,Royal Never Give Up,S14,CN,43,37.2%,0.8,1774,-109,33:01,11.4,14.2,5.2,6.9,51.2,37.2,2.28,49.8,-,-,-,-,-,-,-,0.53,36.3,33.1,2104,-,-,-
215,Ruddy Esports,S14,EUW,30,50.0%,0.81,1868,-9,31:51,15.1,18.7,6.2,6.1,56.7,63.3,1.77,39.2,3.6,0.40,40.0,0.43,0.3,-10,3.80,0.7,52.3,33.2,2460,2.6,0.62,1.19
216,SAW,S14,PT,22,72.7%,1.63,1926,203,31:43,16.9,10.2,7.6,4.4,68.2,68.2,3.23,71.9,3.1,0.59,59.1,1.36,-0.1,1245,3.82,0.95,73.8,33.0,2392,3.3,1.09,1.27
217,Sengoku Gaming,S14,JP,27,33.3%,0.77,1765,-142,32:28,13.1,17.0,5.7,7.3,40.7,48.1,2.15,44.2,2.6,0.56,55.6,0.81,-0.1,-388,3.67,0.56,28.7,31.3,2177,3.4,1.38,1.53
218,Shopify Rebellion,S14,,14,35.7%,0.87,1744,-116,33:23,12.9,14.7,4.7,7.1,64.3,42.9,2.29,45.3,2.6,0.36,38.5,1.00,0.1,-227,3.00,0.5,37.5,31.4,2331,3.4,1.20,1.60
219,Six Karma,S14,LAT,30,26.7%,0.75,1728,-190,30:57,12.2,16.3,4.7,7.8,50.0,43.3,1.63,37.2,2.6,0.37,36.7,0.77,0.1,-388,3.17,0.57,35.6,30.8,2144,3.6,1.40,1.48
220,SK Gaming,S14,EUW,33,42.4%,1.0,1807,-54,31:54,13.6,13.7,5.8,6.5,48.5,48.5,2.18,47.4,2.7,0.67,66.7,0.97,0.1,-5,4.03,0.82,44.3,32.1,2328,4.0,1.33,1.64
221,SK Gaming Prime,S14,DE,27,63.0%,1.34,1942,150,33:27,18.7,14.0,7.6,5.5,37.0,44.4,2.89,64.4,2.0,0.44,44.4,1.15,0.1,854,5.85,0.85,60.9,33.5,2648,3.0,0.82,1.36
222,SNOOZE Esports,S14,BE,13,30.8%,0.77,1780,-107,32:56,15.1,19.5,5.3,7.2,69.2,30.8,1.92,39.4,3.4,0.46,46.2,0.62,-0.2,-1318,3.00,0.62,45.5,31.0,2356,2.8,0.83,0.96
223,SoftBank Hawks Gaming,S14,JP,47,70.2%,1.35,1931,186,30:31,16.4,12.1,7.8,4.1,59.6,53.2,2.57,62.1,2.4,0.70,73.3,1.09,0.1,946,3.60,1.0,75.0,33.0,2735,3.5,1.24,1.61
